 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Q25   Malformacoes congen das grandes arterias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;410;-;-;410
"Q26   Malformacoes congen das grandes veias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;45
"Q27   Outr malformacoes congen sist vasc perif";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;50
"Q28   Outr malform congen aparelho circulatorio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;89
"Q30   Malformacao congen do nariz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;9
"Q31   Malformacoes congen da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;38
"Q32   Malformacoes congen traqueia e bronquios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;51
"Q33   Malformacoes congen do pulmao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;602;-;-;602
"Q34   Outr malformacoes congen aparelho respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;17
"Q35   Fenda palatina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;14
"Q36   Fenda labial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"Q37   Fenda labial c/fenda palatina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;7
"Q38   Outr malform congen lingua boca e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"Q39   Malformacoes congen do esofago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;190;-;-;190
"Q40   Outr malform congen trato digestivo super";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;21
"Q41   Ausencia atresia estenose congen intest delg";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;107;-;-;107
"Q42   Ausencia atresia e estenose congen do colon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;30
"Q43   Outr malformacoes congen do intestino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;120
"Q44   Malform congen vesic biliar via biliar figad";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;100
"Q45   Outr malformacoes congen aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;11
"Q50   Malform cong ovario tromp Falopio lig largos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"Q52   Outr malformacoes congen org genitais femin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"Q53   Testiculo nao-descido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"Q54   Hipospadias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"Q56   Sexo indeterminado e pseudo-hermafroditismo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"Q60   Agenesia renal e outr defeitos reducao rim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;-;-;147
"Q61   Doenc cisticas do rim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;229;-;-;229
"Q62   Anom cong obstr pelv renal malf cong ureter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;30
"Q63   Outr malformacoes congen do rim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;37
"Q64   Outr malformacoes congen aparelho urinario";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;44
"Q67   Deform osteom cong cabeca face coluna torax";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"Q68   Outr deform osteomusculares congen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"Q74   Outr malformacoes congen dos membros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;6
"Q75   Outr malformacoes congen ossos cranio e face";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;38
"Q76   Malform congen coluna vertebral ossos torax";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;23
"Q77   Osteocondr c/anom cresc ossos long col vert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;59
"Q78   Outr osteocondrodisplasias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;58
"Q79   Malformacoes congen sist osteomuscular NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;540;-;-;540
"Q80   Ictiose congen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"Q81   Epidermolise bolhosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;5
"Q84   Outr malformacoes congen do tegumento";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"Q85   Facomatoses NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;60
"Q86   Sindr c/malf cong dev causas exog conh NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;6
"Q87   Outr sindr c/malform cong q acomet mult sist";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;305;-;-;305
"Q89   Outr malformacoes congen NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;711;-;-;711
"Q90   Sindr de Down";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;632;-;-;632
"Q91   Sindr de Edwards e sindr de Patau";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;557;-;-;557
"Q92   Outr trissomias e trissom parc autoss NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;15
"Q93   Monossomias e delecoes dos autossomos NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;48
"Q95   Rearranjos equilibr e marcadores estrut NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"Q96   Sindr de Turner";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;6
"Q97   Outr anom cromoss sexuais fenotipo fem NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"Q98   Outr anom cromoss sexuais fenotipo masc NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"Q99   Outr anomalias dos cromossomos NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109;-;-;109
"R00   Anormalidades do batimento cardiaco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;74
"R01   Sopros e outr ruidos cardiacos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"R02   Gangrena NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;14
"R03   Valor anormal pressao arterial s/diagn";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
"R04   Hemorragia das vias respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;131
"R05   Tosse";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
"R06   Anormalidades da respiracao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89;-;89
"R07   Dor de garganta e no peito";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;45
"R09   Outr sint sinais relat ap circulat respirat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4609;-;4609
"R10   Dor abdominal e pelvica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;701;-;701
"R11   Nausea e vomitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;12
"R13   Disfagia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;15
"R14   Flatulencia e afeccoes correlatas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"R15   Incontinencia fecal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R16   Hepatomegalia e esplenomegalia NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;12
"R17   Ictericia NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;29
"R18   Ascite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;19
"R19   Outr sint e sinais relat ap digest abdome";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;69
"R20   Disturbios da sensibilidade cutanea";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R22   Tumefac massa tumoracao loc pele tec subcut";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;56
"R23   Outr alteracoes cutaneas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"R26   Anormalidades da marcha e da mobilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;11
"R27   Outr disturbios da coordenacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"R29   Outr sint sinais relat sist nerv osteomusc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R31   Hematuria NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;11
"R33   Retencao urinaria";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R34   Anuria e oliguria";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"R36   Secrecao uretral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R39   Outr sint e sinais relativos ap urinario";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"R40   Sonolencia estupor e coma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;17
"R43   Disturbios do olfato e do paladar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R44   Outr sint sinais relat sensac percep gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R50   Febre origem desconhecida e outras origens";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;28
"R51   Cefaleia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"R52   Dor NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"R53   Mal estar fadiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;26
"R54   Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3884;-;3884
"R55   Sincope e colapso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;53
"R56   Convulsoes NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200;-;200
"R57   Choque NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3312;-;3312
"R58   Hemorragia NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78;-;78
"R59   Aumento de volume dos ganglios linfaticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;9
"R60   Edema NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
"R61   Hiperidrose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"R62   Retardo do desenvolv fisiologico normal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R63   Sint sinais relat ingestao alimentos liquid";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;23
"R64   Caquexia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;336;-;336
"R68   Outr sint e sinais gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;819;-;819
"R72   Anormalidade dos leucocitos NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R73   Aumento da glicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;12
"R74   Anormalidades dos niveis de enzimas sericas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"R76   Outr achados imunologicos anormais no soro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"R79   Outr achados anormais exames quimicos sangue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"R80   Proteinuria isolada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R81   Glicosuria";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R83   Achados anormais liquido cefalorraquidiano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"R85   Achados anorm mat prov org digest cav abdom";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"R90   Result anorm exam diagn imag sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;52
"R91   Achados anorm exames diagn imagem do pulmao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;15
"R92   Achados anorm exames diagn imagem da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"R93   Achados anorm exam diagn imag out estr corp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"R94   Resultados anormais de estudos de funcao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"R95   Sindr da morte subita na infancia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127;-;127
"R96   Outr mortes subitas de causa desconhecida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5898;-;5898
"R98   Morte s/assist";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6402;-;6402
"R99   Outr causas mal definidas e NE mortalidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41829;-;41829
"V01   Pedestre traum colis veic a pedal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;26
"V02   Pedestre traum colis veic motor 2 3 rodas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;861;861
"V03   Pedestre traum colis automov pickup caminhon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1785;1785
"V04   Pedestre traum colis veic transp pesado onib";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;707;707
"V05   Pedestre traum colis trem veic ferroviario";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116;116
"V06   Pedestre traum colis outr veic nao-motoriz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;12
"V09   Pedestre traum outr acid transp e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2175;2175
"V10   Ciclista traum colis pedestre animal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"V11   Ciclista traum colis outr veic a pedal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;14
"V12   Ciclista traum colis veic motor 2 3 rodas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;291;291
"V13   Ciclista traum colis automov pickup caminhon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;491;491
"V14   Ciclis traum colis veic transp pesado onibus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;245;245
"V15   Ciclista traum colis trem veic ferroviario";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"V16   Ciclista traum colis outr veic nao-motoriz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"V17   Ciclista traum colis objeto fixo ou parado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;53
"V18   Ciclista traum acid transp s/colis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;261;261
"V19   Ciclista traum acid transp e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;187;187
"V20   Motociclista traum colis pedestre animal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;481;481
"V21   Motociclista traum colis veic pedal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62;62
"V22   Motocicl traum colis veic motor 2 3 rodas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1206;1206
"V23   Motocicl traum colis automov pickup caminhon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4041;4041
"V24   Motocicl traum colis veic transp pesado onib";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1988;1988
"V25   Motociclista traum colis trem veic ferrov";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"V26   Motocicl traum colis outr veic nao-motoriz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;38
"V27   Motocicl traum colis objeto fixo parado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1654;1654
"V28   Motociclista traum acid transp s/colis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2077;2077
"V29   Motociclista traum outr acid transp e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3908;3908
"V30   Ocup tricicl mot traum colis pedestre animal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"V32   Ocup tric mot traum col out veic mot 2 3 rod";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"V33   Ocup tric mot traum col auto pickup caminhon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"V34   Ocup tric mot traum col veic transp pes onib";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
"V37   Ocup tricic mot traum colis obj fixo parado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"V38   Ocup tricic motor traum acid transp s/colis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
"V39   Ocup tricicl mot traum outr acid transp e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;14
"V40   Ocup automovel traum colis pedestre animal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;45
"V41   Ocup automovel traum colis veic a pedal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"V42   Ocup autotraum colis outr veic mot 2 3 rodas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;58
"V43   Ocup automov traum col auto pickup caminhon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1488;1488
"V44   Ocup autom traum colis veic trans pesad onib";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1583;1583
"V45   Ocup automovel traum colis trem veic ferrov";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"V46   Ocup automov traum colis outr veic n-motor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
"V47   Ocup automovel traum colis obj fixo parado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;764;764
"V48   Ocup automovel traum acid transp s/colis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1156;1156
"V49   Ocup automovel traum outr acid transp e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2402;2402
"V50   Ocup caminhonete traum colis pedestre animal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"V51   Ocup caminhonete traum colis veic pedal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"V52   Ocup caminhon traum colis veic mot 2 3 rodas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"V53   Ocup caminhon traum colis automov caminhon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;43
"V54   Ocup caminhon traum col veic transp pes onib";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128;128
"V56   Ocup caminhonete traum colis outr veic n-mot";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"V57   Ocup caminhonete traum colis obj fixo parado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;45
"V58   Ocup caminhonete traum acid transp s/colis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96;96
"V59   Ocup caminhonete traum outr acid transp NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;18
"V60   Ocup veic transp pesado traum colis ped anim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"V61   Ocup veic transp pesado traum col veic pedal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"V62   Ocup v transp pes traum col veic mot 2 3 rod";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"V63   Ocup veic tr pesado traum col auto caminhon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;44
"V64   Ocup v tr pes tr col outr veic tr pes onib";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;290;290
"V65   Ocup veic tr pes traum col trem veic ferrov";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"V67   Ocup veic tr pesado traum col obj fixo parad";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;134;134
"V68   Ocup veic tr pesado traum ac transp s/colis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;449;449
"V69   Ocup veic tr pesado traum outr ac transp NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;157;157
"V70   Ocup onibus traum colis pedestre animal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"V71   Ocup onibus traum colis veic a pedal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"V73   Ocup onibus traum colis automovel caminhonet";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"V74   Ocup onibus traum colis veic transp pes onib";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;55
"V76   Ocup onibus traum colis outr veic n-motor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"V77   Ocup onibus traum colis objeto fixo parado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;11
"V78   Ocup onibus traum acid transp s/colis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;35
"V79   Ocup onibus traum outr acid transp e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;24
"V80   Pess mont anim oc veic anim traum ac transp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;236;236
"V81   Ocup trem veic ferroviario traum acid transp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
"V82   Ocup de um bonde traum acid transp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
"V83   Ocup veic esp mot area ind traum ac transp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
"V84   Ocup veic esp mot uso agric traum acid trans";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;167;167
"V85   Ocup veic mot esp constr traum acid transp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"V86   Ocup veic outr uso n-via pub traum ac transp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;18
"V87   Acid trans tipo espec desconh mod transp vit";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;612;612
"V88   Ac n-trans tipo espec desconh mod transp vit";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;26
"V89   Acid veic mot n-mot tipos de veic NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4256;4256
"V90   Acid embarcacao caus afogamento submersao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;70
"V91   Acid embarcacao causando outr tipo de traum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;37
"V92   Afog submers rel transp agua s/acid embarc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;17
"V93   Acid bord emb s/ac bem n caus afog submers";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"V94   Outr acid transp p/agua e os NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"V95   Acid de aeronave mot causando traum ao ocup";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;146;146
"V96   Acid aeronave s/motor causando traum a ocup";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"V97   Outr acid espec de transporte aereo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10
"V98   Outr acid transp espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10
"V99   Acid transp NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;798;798
"W01   Queda mesmo nivel escorr tropec passo falso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3590;3590
"W02   Queda env patins rodas gelo esqui pranch rod";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"W03   Outr qued mesmo niv colis empurrao outr pess";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;11
"W04   Queda enquanto carreg apoiado p/outr pessoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;12
"W05   Queda envolv uma cadeira de rodas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;47
"W06   Queda de um leito";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;597;597
"W07   Queda de uma cadeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;136;136
"W08   Queda de outr tipo de mobilia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;81
"W09   Queda envolv equipamento de playground";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"W10   Queda em ou de escadas ou degraus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;750;750
"W11   Queda em ou de escadas de mao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;101;101
"W12   Queda em ou de um andaime";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189;189
"W13   Queda de ou p/fora edificios outr estruturas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;935;935
"W14   Queda de arvore";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;221;221
"W15   Queda de penhasco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;24
